species_id,class_name,common_name,species,exclude_vis,exclude_messages
221,Phylloscopus collybita_Common Chiffchaff,Chiffchaff,Phylloscopus collybita,False,False
222,Phylloscopus inornatus_Yellow-browed Warbler,Yellow-browed Warbler,Phylloscopus inornatus,False,False
223,Phylloscopus sibilatrix_Wood Warbler,Wood Warbler,Phylloscopus sibilatrix,False,False
224,Phylloscopus trochilus_Willow Warbler,Willow Warbler,Phylloscopus trochilus,False,False
225,Pica pica_Eurasian Magpie,Magpie,Pica pica,False,False
226,Picus viridis_Eurasian Green Woodpecker,Green Woodpecker,Picus viridis,False,False
227,Platalea leucorodia_Eurasian Spoonbill,Spoonbill,Platalea leucorodia,False,False
228,Plectrophenax nivalis_Snow Bunting,Snow Bunting,Plectrophenax nivalis,False,False
229,Plegadis falcinellus_Glossy Ibis,Glossy Ibis,Plegadis falcinellus,False,False
230,Pluvialis apricaria_European Golden-Plover,Golden Plover,Pluvialis apricaria,False,False
231,Pluvialis squatarola_Black-bellied Plover,Grey Plover,Pluvialis squatarola,False,False
232,Podiceps auritus_Horned Grebe,Slavonian Grebe,Podiceps auritus,False,False
233,Podiceps cristatus_Great Crested Grebe,Great Crested Grebe,Podiceps cristatus,False,False
234,Podiceps grisegena_Red-necked Grebe,Red-necked Grebe,Podiceps grisegena,False,False
235,Podiceps nigricollis_Eared Grebe,Black-necked Grebe,Podiceps nigricollis,False,False
236,Poecile montanus_Willow Tit,Willow Tit,Poecile montanus,False,False
237,Poecile palustris_Marsh Tit,Marsh Tit,Poecile palustris,False,False
238,Porzana porzana_Spotted Crake,Spotted Crake,Porzana porzana,False,False
239,Power tools_Power tools,Power tools,Power tools,True,True
240,Prunella modularis_Dunnock,Dunnock,Prunella modularis,False,False
241,Psittacula krameri_Rose-ringed Parakeet,Ring-necked Parakeet,Psittacula krameri,False,False
242,Ptyonoprogne rupestris_Eurasian Crag-Martin,Crag Martin,Ptyonoprogne rupestris,False,False
243,Puffinus puffinus_Manx Shearwater,Manx Shearwater,Puffinus puffinus,True,False
244,Pyrrhocorax pyrrhocorax_Red-billed Chough,Chough,Pyrrhocorax pyrrhocorax,True,False
245,Pyrrhula pyrrhula_Eurasian Bullfinch,Bullfinch,Pyrrhula pyrrhula,False,False
246,Rallus aquaticus_Water Rail,Water Rail,Rallus aquaticus,False,False
247,Recurvirostra avosetta_Pied Avocet,Avocet,Recurvirostra avosetta,True,False
248,Regulus ignicapilla_Common Firecrest,Firecrest,Regulus ignicapilla,False,False
249,Regulus regulus_Goldcrest,Goldcrest,Regulus regulus,False,False
250,Remiz pendulinus_Eurasian Penduline-Tit,Penduline Tit,Remiz pendulinus,False,False
251,Riparia riparia_Bank Swallow,Sand Martin,Riparia riparia,False,False
252,Rissa tridactyla_Black-legged Kittiwake,Kittiwake,Rissa tridactyla,True,False
253,Saxicola rubetra_Whinchat,Whinchat,Saxicola rubetra,False,False
254,Saxicola rubicola_European Stonechat,Stonechat,Saxicola rubicola,False,False
255,Scolopax rusticola_Eurasian Woodcock,Woodcock,Scolopax rusticola,True,False
256,Serinus serinus_European Serin,Serin,Serinus serinus,False,False
257,Siren_Siren,Siren,Siren,True,True
258,Sitta europaea_Eurasian Nuthatch,Nuthatch,Sitta europaea,False,False
259,Somateria mollissima_Common Eider,Eider,Somateria mollissima,False,False
260,Spatula clypeata_Northern Shoveler,Shoveler,Spatula clypeata,True,False
261,Spatula querquedula_Garganey,Garganey,Spatula querquedula,False,False
262,Spinus spinus_Eurasian Siskin,Siskin,Spinus spinus,False,False
263,Stercorarius longicaudus_Long-tailed Jaeger,Long-tailed Skua,Stercorarius longicaudus,True,False
264,Stercorarius parasiticus_Parasitic Jaeger,Arctic Skua,Stercorarius parasiticus,True,False
